x,y,z
7.114231670000000158e+05,3.082678030000000144e+05,9.326500000000000057e+01
7.114156119999999646e+05,3.082472820000000065e+05,9.294100000000000250e+01
7.114283059999999823e+05,3.082679369999999763e+05,9.207900000000000773e+01
7.114062260000000242e+05,3.082336759999999776e+05,9.367100000000000648e+01
7.114301350000000093e+05,3.082740380000000005e+05,9.237300000000000466e+01
7.114011559999999590e+05,3.082314839999999967e+05,9.459700000000000841e+01
7.114150820000000531e+05,3.082532689999999711e+05,9.359799999999999898e+01
7.114091750000000466e+05,3.082504270000000251e+05,9.476000000000000512e+01
7.114286779999999562e+05,3.082713150000000023e+05,9.230299999999999727e+01
7.114487389999999432e+05,3.082754380000000237e+05,8.956300000000000239e+01
7.114181800000000512e+05,3.082122069999999949e+05,9.115099999999999625e+01
7.114265579999999609e+05,3.082586379999999772e+05,9.178900000000000148e+01
7.114127510000000475e+05,3.082432669999999925e+05,9.324500000000000455e+01
7.114256040000000503e+05,3.082560439999999944e+05,9.183400000000000318e+01
7.114272989999999991e+05,3.082683910000000033e+05,9.234199999999999875e+01
7.113970209999999497e+05,3.082274249999999884e+05,9.513100000000000023e+01
7.114010259999999544e+05,3.082333609999999753e+05,9.485300000000000864e+01
7.114140590000000084e+05,3.082364170000000158e+05,9.233700000000000330e+01
7.113991570000000065e+05,3.082324209999999730e+05,9.529500000000000171e+01
7.114253900000000140e+05,3.082219940000000061e+05,9.076000000000000512e+01
7.114173020000000251e+05,3.082150019999999786e+05,9.107900000000000773e+01
7.114209039999999804e+05,3.082559280000000144e+05,9.277800000000000580e+01
7.114298649999999907e+05,3.082393159999999916e+05,9.028300000000000125e+01
7.114020439999999944e+05,3.082340169999999925e+05,9.478499999999999659e+01
7.114255810000000056e+05,3.082525599999999977e+05,9.156900000000000261e+01
7.114332750000000233e+05,3.082628640000000014e+05,9.095100000000000762e+01
7.114132700000000186e+05,3.082348279999999795e+05,9.241700000000000159e+01
